id,week,title,url,thunmbnail,author,summary,genre,age,company
613,완결웹툰,달달한 그녀,https://comic.naver.com/webtoon/list?titleId=769692,https://shared-comic.pstatic.net/thumb/webtoon/769692/thumbnail/thumbnail_IMAG10_65071e36-41b8-4cae-9f15-e489591d01d6.jpg,S / 날치,"세계 인구가 급증하자 피가 풍족해진 뱀파이어들은 피의 맛과 질을 고르기 시작했다.그후 인간의 피를 와인처럼 숙성시켜 마시는 시대가 왔다.그 중 최고의 와인제작사 킹스턴 와이너리의 대표자리를 친형에게 빼앗긴 해리는 한국에서 작은 와인바에서 혈액 브로커로 살아간다. 어느 날, 해리를 찾아온 여고생 연서가 천문학적인 가치의 피를 가졌음을 알고 연서에게 혈액제공 독점계약을 제안한다. 돈이 필요한 연서는 계약을 받아들이고 해리의 관리를 받게 되면서 종을 초월한 로맨스가 싹터가는데...","스토리, 로맨스",전체이용가,네이버
614,완결웹툰,서브 콤플렉스,https://comic.naver.com/webtoon/list?titleId=745474,https://shared-comic.pstatic.net/thumb/webtoon/745474/thumbnail/thumbnail_IMAG10_e05c72d3-6490-4710-baf9-378c442b26e9.jpg,소이,서브 병에 걸려 메인 남주보다 서브를 안쓰러워하며 사랑하는 연이.최근 빠진 순정만화에서 서브 남주 반하나가 죽는 걸 보고 울다 지쳐 잠이 들었는데 눈을 떠보니 만화 속 여주가 되었다.남주인 서늘을 제쳐두고 서브 남주에게 적극적인 구애를 하는 연이.그런데 점점 서늘이 안쓰럽게 느껴지는 건 서브 병 탓일까?,"에피소드, 로맨스",전체연령가,네이버
615,완결웹툰,여기 악마가 있어,https://comic.naver.com/webtoon/list?titleId=734399,https://shared-comic.pstatic.net/thumb/webtoon/734399/thumbnail/thumbnail_IMAG10_1672f606-a7c5-47b4-b8f2-3b5bfa5e1943.jpg,맷집왕,"게임회사의 인사팀에서 일하게 된 1년 차 직장인 조승훈.인간의 모습을 한 악마 상사와 함께 회사를 급성장시키게 되는데…성장의 이면에 있는 악마의 진짜 목표는 무엇이며, 이를 깨달은 인간은 과연 어떤 선택을 하게 될 것인가.","스토리, 드라마",전체연령가,네이버
616,완결웹툰,피노키오 소녀,https://comic.naver.com/webtoon/list?titleId=745235,https://shared-comic.pstatic.net/thumb/webtoon/745235/thumbnail/thumbnail_IMAG10_0afd8c7a-5b0a-4823-974a-8ffc65fca898.jpg,망순,"다시 돌아온 고향. 그리고 이곳에서 일어나는 원인 불명의 실종사건. ""이것은 공포 웹툰이 아니다."" 그녀의 거짓말을 믿지 마세요...","스토리, 스릴러",18세 이용가,네이버
617,완결웹툰,정순애 식당,https://comic.naver.com/webtoon/list?titleId=731978,https://shared-comic.pstatic.net/thumb/webtoon/731978/thumbnail/thumbnail_IMAG10_b733dcf0-52e4-4378-bb88-21a3c5efa043.jpg,아르몽,"미각을 잃은 사람도 이곳에 오면 ""맛있다""를 외칩니다!!따뜻한 집밥과 사람 사는 냄새가 나는 힐링공간 정순애식당에 어서오세요~","스토리, 드라마",전체연령가,네이버
618,완결웹툰,소심한 팔레트,https://comic.naver.com/webtoon/list?titleId=729571,https://shared-comic.pstatic.net/thumb/webtoon/729571/thumbnail/thumbnail_IMAG10_6eeb669f-0b24-4692-95a0-f074e0b00bdd.jpg,한민기,소심해서 좋아하는 사람에게 말도 못 붙이고 친구들에게 늘 무시 당하기 일수라면? 당신의 설렘이 현실이 되는일러스트 동아리 팔레트로 오세요,"스토리, 로맨스",전체연령가,네이버
619,완결웹툰,한강예찬,https://comic.naver.com/webtoon/list?titleId=748352,https://shared-comic.pstatic.net/thumb/webtoon/748352/thumbnail/thumbnail_IMAG10_5f530f8f-aa4e-4ad7-9401-4e08ef2bb1c1.jpg,김8,"겉보기엔 좋아보이지만 속은 썩었어! 가식에 지친 현대인의 현타 도미노.고교동창생 한세련/강아영/예은지/차안나의 관계, 그리고 이야기.","스토리, 드라마",12세 이용가,네이버
620,완결웹툰,하루달콤 하루쌉싸름,https://comic.naver.com/webtoon/list?titleId=768099,https://shared-comic.pstatic.net/thumb/webtoon/768099/thumbnail/thumbnail_IMAG10_d50614fc-efd7-4480-b934-0e38c0c09e09.jpg,은유,"잊지 못할 추억의 음식, 그 안에 담긴 소중한 이야기.","스토리, 드라마",전체연령가,네이버
621,완결웹툰,삶이 우리를 속일지라도,https://comic.naver.com/webtoon/list?titleId=726212,https://shared-comic.pstatic.net/thumb/webtoon/726212/thumbnail/thumbnail_IMAG10_fe4eeb55-40c9-4c8d-be22-221235220401.jpg,김지수,재벌 3세들과 친해진 가난한 대학생!그녀는 솔직해질 수 있을까?,"스토리, 로맨스",전체연령가,네이버
622,완결웹툰,캡틴 비앙카,https://comic.naver.com/webtoon/list?titleId=768095,https://shared-comic.pstatic.net/thumb/webtoon/768095/thumbnail/thumbnail_IMAG10_c2846303-7349-447f-84cc-a30c932541a9.jpg,소망,"캡틴 비앙카모두가 원하던 새로운 영웅의 등장!!한가로운 해변 마을, 여관에서 허드렛일을 하는 청년 레온은 뜻밖의 손님을 만나게 된다. 해적인 줄만 알았던 무시무시한 분위기의 손님, 비앙카는 희귀한 해양생물을 찾아내서 보호하는 나름(?) 착한 사람. 그녀와 함께 소매치기 펭귄, 딸기 거북이, 사기꾼 해달 등을 만나게 되면서 레온은 점차 비앙카의 매력에 빠지게 된다.한편, 희귀한 해양생물이 유독 많이 등장하는 이 마을이 심상치 않음을 직감한 비앙카 앞에 철천지 원수(?) 실버단의 디고르가 나타나고, 비앙카에게 연정을 숨기지 않는 디고르를 보며 레온은 마음이 복잡해지기만 하는데...지금까지의 판타지와는 결이 다르다!한 번 보면 빠져나올 수 없는 캡틴 비앙카의 매력―!!","스토리, 로맨스",전체이용가,네이버
