week,title,url,thunmbnail,author,summary,genre,age,company
금요일,A.I. 닥터,https://comic.naver.com/webtoon/list?titleId=765804&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/765804/thumbnail/thumbnail_IMAG10_07088e32-0f35-49ff-b978-f63917d121fe.jpg,"한산이가, ZAINO / 쿠큐","태화 그룹이 미래를 걸고 개발한 진단 목적 A.I. 바루다!내과 레지던트 1년 차 이수혁은 바루다를 견학하던 중 원인 모를 폭발에 휘말려 정신을 잃고 만다.그리고 다시 정신을 차렸을 때 그는 자신의 머릿속에 존재하는 A.I. 바루다를 마주한다.이미 절대 떨어질 수 없는 사이가 되어 버린 둘.딥러닝을 계속해 세계 최고의 진단 인공지능이 되는 것이 목적인 바루다와어려운 환경에서도 악착같이 출세를 위해 노력해 온 수혁,그들은 의기투합해 환자를 치료해 나가며 세계 최고의 내과 의사를 목표로 활동을 개시한다.","스토리, 드라마",전체연령가,네이버
금요일,히어로 킬러,https://comic.naver.com/webtoon/list?titleId=766563&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/766563/thumbnail/thumbnail_IMAG10_82231e8b-6b4f-4237-91b9-b6001eafb349.jpg,꿀벌 / 벌꿀,"전쟁은 빌런들의 패배로 막을 내렸다.이제 세상은 부패한 히어로들이 지배하고 있다.그리고, 그런 히어로들 중 하나가 이화의 언니를 죽였다.언니를 죽인 게 누구인지는 모르지만 상관없다.한 놈씩 죽이다 보면 그중에 있을 테니까.이화는 매일 밤 영웅들을 사냥하는 빌런, 히어로 킬러가 된다. ?한 악당의 지독한 액션 활극.“모조리 죽이고, 빼앗아 주마!”","스토리, 액션",15세 이용가,네이버
금요일,그들이 사귀는 세상,https://comic.naver.com/webtoon/list?titleId=764130&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/764130/thumbnail/thumbnail_IMAG10_627030e0-4279-4ff6-8498-5b227d4d869c.jpg,율로,"비연애를 선언한 그날, 세울의 인생에 한 번도 없었던 세 명의 남자가 눈 앞에 나타난다. 꿈에 그리던 이상형, 평생 친구일 줄 알았던 남사친, 그리고 현실적인 조건이 우수한 소개팅남까지 한꺼번에 등장한다. 세울은 과연 자신의 비연애에 대한 신념을 끝까지 지켜나갈 수 있을까?","스토리, 로맨스",12세 이용가,네이버
금요일,달이 없는 나라,https://comic.naver.com/webtoon/list?titleId=780063&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/780063/thumbnail/thumbnail_IMAG10_2602d5aa-f820-4773-ba11-568b0fa3bd38.jpg,엥비,"온 나라의 모든 집안이 부계를 따르지만, 단 한 곳 황실만은 어머니로부터 딸에게 황위가 이어진다. 그리고 아들을 내세워 여황제의 눈에 들고자 하는 귀족들.  사랑조차 협잡이 되는 황궁에 홀로 던져진 태자 선요. 그녀는 선택해야 한다. 태자의 정실이 되는 것은 누구일까? 그리고 모든 것이 끝났을 때, 선요는 사랑과 권력을 둘 다 가질 수 있을까?","스토리, 로맨스",전체연령가,네이버
금요일,오!너의 리스크,https://comic.naver.com/webtoon/list?titleId=780267&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/780267/thumbnail/thumbnail_IMAG10_94577e33-c0e5-4590-8679-d552ecdf33af.jpg,바리,"국내 굴지의 대기업 재벌 3세 차 상무, 그 기업의 법무팀 사원 윤의민이 둘은 서로 잘 아는 사이이지만 둘의 관계가 알려지면 모두에게 위험하다.재벌 3세 차 상무로 인해 벌어지는 오너리스크 때문에","스토리, 드라마",15세 이용가,네이버
금요일,식인귀,https://comic.naver.com/webtoon/list?titleId=777272&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/777272/thumbnail/thumbnail_IMAG10_21fab1d1-dbca-48f3-8f14-49da0a810db3.jpg,선택길,주식 사기를 당해 전 재산을 날리고 취업 실패로 어렵게 살아가고 있던 최광식.공포 컨텐츠 방송으로 돈을 벌게 해준다는 친구의 권유로 함께 폐교로 향하게 되고그곳에서 이상한 물건을 만진 뒤로 그의 눈에 귀신들이 보이기 시작한다. 영혼을 먹는 식인귀들의 먹잇감이 된 최광식은 도망치다 우연히 퇴마사들의 도움을 받고목숨을 구하게 되지만 여전히 식인귀들은 그의 영혼을 노리고 있는 상황.최광식은 살아남기 위해서 어쩔 수 없이 퇴마사들을 따라가게 되고 불편한 동행을 시작하게 된다.,"스토리, 스릴러",15세 이용가,네이버
금요일,가슴털 로망스,https://comic.naver.com/webtoon/list?titleId=729963&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/729963/thumbnail/thumbnail_IMAG10_43c309d8-19f8-4ad6-8ad4-707208fbaeb0.jpg,갸오오,최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들명언범벅 눈물범벅 의리범벅 개그만화!,"스토리, 개그",전체연령가,네이버
금요일,역대급 영지 설계사,https://comic.naver.com/webtoon/list?titleId=777767&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/777767/thumbnail/thumbnail_IMAG10_04fe5276-ea72-459b-81bd-da73b012c24c.jpg,"문백경, 이현민 / 김현수","소설 속 귀족이 된 토목공학도 김수호. 그런데 뭐? 내 영지가 곧 망할 거라고? 그럼 살려야지. 설계하고, 건설하고, 분양해서. [전 대륙이 기다려온 특별한 기회! 퍼펙트한 교통, 최상의 학군, 쾌적한 숲세권, 원스톱 프리미엄 영지 라이프의 프론테라 남작령이 여러분을 기다립니다. 선착순 분양계약중!]","스토리, 판타지",전체연령가,네이버
금요일,그 기사가 레이디로 사는 법,https://comic.naver.com/webtoon/list?titleId=758675&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/758675/thumbnail/thumbnail_IMAG10_6eb1e9a6-c38b-4a88-a81d-8687f99521f1.jpg,"아인, 성혜림 / Ink.","가장 가까운 친우이자 믿었던 부관의 검이 내 몸을 관통했다.다시 눈을 떴을 땐 적국의 귀족 레이디가 되어있었다.낯설고 연약한 타인의 몸과 잃어버린 3년의 세월, 그 사이에 망해버린 나의 조국.배신의 아픔과 정체성의 혼란으로 정신을 차릴 수가 없었다.그러나 나는 결국 살아가기로 했다. 루시펠라 아이딘으로써, 검을 든 귀족 레이디로서.","스토리, 판타지",전체연령가,네이버
금요일,버그: 스티그마,https://comic.naver.com/webtoon/list?titleId=724431&weekday=fri,https://shared-comic.pstatic.net/thumb/webtoon/724431/thumbnail/thumbnail_IMAG10_cace8173-9317-474e-bf95-dedf889ce522.jpg,해마 / 송지형,"3차 세계대전이 일어났다!최강의 연금술사와 그로 인해 태어난 초능력자들의 액션 판타지!세상에 생긴 오류 이야기 시즌2, 버그:스티그마","스토리, 판타지",12세 이용가,네이버
