week,title,url,thumbnail,author,summary,genre,age,company
월요일,이토록 다채로운 핏빛,https://www.lezhin.com/ko/comic/colorful,https://ccdn.lezhin.com/v2/comics/4705963879235584/images/wide.webp?updated=1633486256575&width=277,므앵갱,"피의 색으로 모든 것이 나뉘는 세상.
순수한 색일수록 높은 신분을, 섞이고 섞여 혼탁한 색일수록 낮은 신분을 지닌 채 살아가는 인간들 앞에 어느 날 '흡색'이라는 무시무시한 존재가 나타난다.
아무 색도 없는 흡색들은 닥치는 대로 인간의 피를 탐하고, 이에 대항할 수 있는 것은 오직 ‘빛눈의 은덕‘을 입은 사람들뿐.
바로 그 ‘빛눈의 은덕’이 어느 보잘것없던 소녀 시르에게 찾아오게 되는데...!
<어둠이 스러지는 꽃> <삼작미인가> 므앵갱 작가의 신작!",판타지,15세 이용가,레진코믹스
월요일,러브 포엠,https://www.lezhin.com/ko/comic/love_poem,https://ccdn.lezhin.com/v2/comics/4775451873837056/images/wide.webp?updated=1623731141709&width=277,해연,"잘생긴 외모, 재벌 2세 막내 도련님, 유명 시인. 누구라도 사랑할 수밖에 없는 남자, 태은(시인)은 처음으로 자신에게 차가운 연우(만화가)를 만나게 되어 난생처음으로 누군가에게 사랑 받기 위해 노력한다.",BL,전체 이용가,레진코믹스
월요일,주먹꾹,https://www.lezhin.com/ko/comic/cat_fist,https://ccdn.lezhin.com/v2/comics/4974892860702720/images/wide.webp?updated=1626417764417&width=277,캐너피,"집사의, 집사에 의한, 집사를 위한 냥냥이들의 행복 전도 만화!!! 볼을 꾹- 배를 꾹- 젤리를 꾹- 잡고 부비부비하고 싶어지는 고양이들을 보며 행복해지는 기분을 느껴보세요! ※ 너무 귀여워서 보다가 몸이 베베 꼬일 수 있습니다.",일상,15세 이용가,레진코믹스
월요일,사람의 사이로,https://www.lezhin.com/ko/comic/saram,https://ccdn.lezhin.com/v2/comics/5016813088342016/images/wide.webp?updated=1592551849904&width=277,김보통,사람의 눈에 띄지않게 숨어 살아가던 요괴 가족. 그러나 40년 전의 한 사건을 계기로 사람들 속에서 사람인척 살아가기로 마음 먹는다. 그렇게 시작된 순박한 요괴 가족의 애잔한 사람살이.,드라마,전체 이용가,레진코믹스
화요일,완벽한 연애,https://www.lezhin.com/ko/comic/perfect_love,https://ccdn.lezhin.com/v2/comics/6403873117110272/images/wide.webp?updated=1634537812764&width=277,ㅁㅣㄱ,"결혼도 진중한 연애도 하고 싶지 않고 가볍게 즐기는 썸만 타고 싶은 이현. 불안정한 가정환경도 크게 비전없는 것 같은 직장생활도 그녀가 안정적인 연애를 하는데에 걸림돌이다. 동네에서 우연히 마주친 남자 민혁과 운명처럼 회사 근처에서도 마주치게 되고 이 둘은 주인공의 바람처럼 가벼운 관계가 된다.
그리고 민혁을 좋아한다는 직장 동료. 그녀는 현이 가지지 못한 모든 것을 가지고 있는 것 같다. 깊은 관계가 되고싶지 않아 더 이상 다가가지 못했던 민혁에게도 적극적으로 대쉬한다. 그녀에게 민혁을 뺏기지 않으려면 현이도 나서야하지만...
로맨스, 일상, 현대물, 짝사랑, 달달물",로맨스,전체 이용가,레진코믹스
화요일,위장여친,https://www.lezhin.com/ko/comic/fake_girlfriend,https://ccdn.lezhin.com/v2/comics/4743356283682816/images/wide.webp?updated=1634104067621&width=277,튼튼,남자에게 인기가 많아도 너무 많아 귀찮을 지경인 21살 연아. 눈 앞에 방패막으로 딱 좋은 꽃미남이 나타났다! 키는 좀 부족해도 잘!생!긴 남자면 충분....했는데 잘생긴 여자였다? 심지어 레즈라고 소문난 서민영! 둘은 어쩔 수 없이 위장 연애를 시작하는데…,백합,전체 이용가,레진코믹스
화요일,미성년,https://www.lezhin.com/ko/comic/immature,https://ccdn.lezhin.com/v2/comics/4509144894210048/images/wide.webp?updated=1618819892810&width=277,히눈,"공부밖에 모르는 모범생 진혁과 일진들 중심에 서있는 임희찬.
진혁은 반 분위기를 흐리는 희찬 무리가 거슬린다.
앞으로 그들을 계속 무시하면서 지내겠다고 다짐을 하지만 하굣길에 희찬이 그의 아버지에게 맞고 있는 장면을 목격하고 마는데…
전혀 어울리지 않을 것 같은 두 사람의 관계는 가까워질 수 있을까?",BL,15세 이용가,레진코믹스
화요일,바퀴멘터리,https://www.lezhin.com/ko/comic/baquimentary,https://ccdn.lezhin.com/v2/comics/6185833387393024/images/wide.webp?updated=1626417739320&width=277,박바퀴,제가 이러고 삽니다.,일상,15세 이용가,레진코믹스
화요일,4컷용사,https://www.lezhin.com/ko/comic/cartoon_hero,https://ccdn.lezhin.com/v2/comics/248/images/wide.webp?updated=1626417556358&width=277,고지라군,마왕을 해치운 용사는 드디어 공주를 구하고 새 삶을 찾는다. 하지만 공주와의 달콤한 미래는 상상으로 끝나버리고... 마왕 격퇴 이후 평범백수로 전락한 용사의 구차한 일상. 고지라군 작가님의 화제작 4컷용사가 리메이크로 찾아왔다!,판타지,15세 이용가,레진코믹스
화요일,레그널 트리거,https://www.lezhin.com/ko/comic/regnal_trigger,https://ccdn.lezhin.com/v2/comics/6016237758185472/images/wide.webp?updated=1616393870842&width=277,kalma,트레비엔 제국의 채굴장에서 10년간 강제 노역을 한 아렌과 토아. 아렌은 쌍둥이 동생 토아와 함께 그곳을 탈출하려는 계획을 세우지만 토아는 스스로 목숨을 끊어버리고 만다. 자신의 삶에 유일한 희망이었던 토아가 죽자 아렌 또한 스스로 목숨을 끊으려고 한다. 그 순간 나타난 수수께끼의 인물 '디드'가 나타난다. 디드는 토아를 되살릴 수 있는 방법이 있다며 자신과 계약을 하자고 하는데…?,판타지,15세 이용가,레진코믹스
화요일,나의 수하[개정판],https://www.lezhin.com/ko/comic/my_suha_15,https://ccdn.lezhin.com/v2/comics/6234227991969792/images/wide.webp?updated=1610419380910&width=277,차현,"[개정판]
해당 작품은 <나의 수하> 성인 버전의 일부 장면을 수정한 개정판입니다. 낮에는 유능한 '비서'로, 밤에는 유능한 '남자'로 이중생활을 즐기는 수하. 칼퇴 후 게이바에서 상대를 거절하고 나오는 순간 문 앞에서 누군가와 부딪히는데…. 몸에 집 한 채는 걸치고 다니는 이 남자... ""박지운...이사님?!""",BL,15세 이용가,레진코믹스
화요일,잘 자 내 꿈 꿔,https://www.lezhin.com/ko/comic/goodnight,https://ccdn.lezhin.com/v2/comics/5611356766994432/images/wide.webp?updated=1622448033253&width=277,이이런,"「빠알간 창, 교실 복도, 몸을 옭아매던 수십 개의 손가락.
그 소름 끼치던 꿈속은ㅡ 나의 꿈이 아니었다.」
평범한 학생이었던 성하는 겉돌던 같은 반 친구, 이수의 악몽 속에서 깬 이후로 다른 사람들의 꿈이 보이기 시작하는데...
<불편한 진실> 이이런 작가가 보내드리는 누구나 일어날 수 있는 기묘하고도 흡입력 강한 두 번째 이야기.",미스터리,15세 이용가,레진코믹스
화요일,러브 오어 헤이트[개정판],https://www.lezhin.com/ko/comic/loveorhate_15,https://ccdn.lezhin.com/v2/comics/5641055802818560/images/wide.webp?updated=1603872486579&width=277,박담 / 글: 영하,"[개정판]
해당 작품은 <러브 오어 헤이트> 성인 버전의 일부 장면을 수정한 개정판입니다.
부모님의 재혼으로 만나 해서는 안되는 관계를 이어가던 해수와 주원.반복되는 이별과 만남, 다툼과 잠자리 속 무감각해져버린 둘 사이에 태경이 파고들면서 변화는 시작된다.",BL,15세 이용가,레진코믹스
화요일,안티피티[개정판],https://www.lezhin.com/ko/comic/anti_pt_15,https://ccdn.lezhin.com/v2/comics/4706772223328256/images/wide.webp?updated=1618213047870&width=277,이지피,"[개정판]
해당 작품은 <안티피티> 성인 버전의 일부 장면을 수정한 개정판입니다.
""내 인생은 언젠가 이 X 때문에 망할거야.""
대기업의 촉망받는 엘리트사원 이파람.
그의 최대 약점은 때와 장소를 가리지 않고 쉽게 흥분해버린다는 것.
심지어 몸 좋고 성격 좋은 상사한테 반해서 회사생활이 쉽지만은 않은데..
어쩌다 사내 피트니스센터의 트레이너한테 잘못 걸려 PT까지 받게 되다니!
아무도 없는 심야에 시작되는 그들만의 PT수업.
...이거 정말 PT 맞나요?",BL,15세 이용가,레진코믹스
