id,제목,URL,Thumbnail,작가,스토리,장르,연령대
754873,스크립토리움,https://comic.naver.com/webtoon/list?titleId=754873,https://shared-comic.pstatic.net/thumb/webtoon/754873/thumbnail/thumbnail_IMAG10_39c4ac1d-4c24-46bf-994f-f1a40bbbc1fe.jpg,Song,"신화, 전설, 그리고 우리들의 이야기<미쳐 날뛰는 생활툰> Song 작가 단편선.","옴니버스, 판타지",12세 이용가
731939,나의 우주,https://comic.naver.com/webtoon/list?titleId=731939,https://shared-comic.pstatic.net/thumb/webtoon/731939/thumbnail/thumbnail_IMAG10_a3d0d491-aa09-49d2-a852-681a889b742a.jpg,공이 / 김문경,"""외계인이 있다면 만나보고 싶어.""어느날 갑자기 우주가 내게 말을 걸어왔다. 그것도 짝사랑 남학생의 얼굴을 한 채로...?","스토리, 로맨스",전체연령가
761246,우리 사장님은 개,https://comic.naver.com/webtoon/list?titleId=761246,https://shared-comic.pstatic.net/thumb/webtoon/761246/thumbnail/thumbnail_IMAG10_41fb116c-9c4f-4b63-885a-398a7eca9e48.jpg,레나,펫시터 알바를 하게 된 알바군. 어떤 강아지를 만나게 될까 두근거리는 마음으로 사장님을 찾아가는데… 그 사장님이 거대한 시베리아 허스키?! 알바군과 그의 사장님의 즐거운 일상 이야기!,"에피소드, 일상",전체연령가
761247,헬 인 파라다이스,https://comic.naver.com/webtoon/list?titleId=761247,https://shared-comic.pstatic.net/thumb/webtoon/761247/thumbnail/thumbnail_IMAG10_1ebdd437-87db-43ef-920e-18f9048fd47c.jpg,비열한 호떡 / -2℃,"부모를 모르며 어렵게 자란 고2 여학생 조지아. 주변 사람들에게 멸시를 받고 그 흔한 아르바이트 자리도 구하기 쉽지 않은, 정말 말 그대로 되는 게 없는 인생을 살고 있다. 그런 인생을 한탄하던 중 갑자기 지옥 사자가 앞에 나타나고, 영혼을 대가로 소원을 이루어주겠다고 한다. 계약을 하려던 그때, 하늘에서 천국 지사가 나타나며 이중계약이 되어버리는데?!","스토리, 로맨스",전체연령가
761248,차가운 장례식,https://comic.naver.com/webtoon/list?titleId=761248,https://shared-comic.pstatic.net/thumb/webtoon/761248/thumbnail/thumbnail_IMAG10_9c17b384-fa11-480c-937e-8a8c2f19a566.jpg,탐토,"평범한 여고생이었던 한세영은 소꿉친구 김진서가 자살 후 산송장이 되어 되살아나는 것을 목격한다. 세영은 산송장이 된 진서와 접촉 후 '위퍼'라는 기생충에 감염되어 남다른 신체적 능력을 얻게 되고, 이를 계기로 위퍼를 제거하고자 움직이는 비밀 경찰 '생활안전국 비밀상장과'에 스카웃되는데…","스토리, 판타지",전체연령가
725552,열불 로맨스,https://comic.naver.com/webtoon/list?titleId=725552,https://shared-comic.pstatic.net/thumb/webtoon/725552/thumbnail/thumbnail_IMAG10_5c06c47b-3d1a-4bba-864f-febc6e0aa3cf.jpg,홍치,죽기 싫으면 연애하라!화 많은 소녀 불화자의 살기 위한 필'수(水)' 로맨스.,"스토리, 로맨스",전체연령가
742349,나의 첫번째 새벽,https://comic.naver.com/webtoon/list?titleId=742349,https://shared-comic.pstatic.net/thumb/webtoon/742349/thumbnail/thumbnail_IMAG10_a0ec8aa4-198a-4f55-a6bb-be2638daedcd.jpg,신매,"아빠의 갑작스런 죽음 이후로 후회와 죄책감에 살던 이슬. 그녀 앞에 하늘을 나는 소년이 나타났다. ""너에게 작은 용기를 줄게.""","스토리, 감성",전체연령가
731297,갓물주,https://comic.naver.com/webtoon/list?titleId=731297,https://shared-comic.pstatic.net/thumb/webtoon/731297/thumbnail/thumbnail_IMAG10_df561e4d-07f3-4a43-8098-2449b5f35918.jpg,HD3,과거로 갈 수 있는 건물을 얻게 된 평범한 청년 송강기.시간 이동으로 내가 얻은 이득만큼 누군가는 피해를 보게 되는 파이 싸움의 현실!강기는 과연 어떤 선택을 해 나갈 것인가...,"스토리, 드라마",전체연령가
759094,죽어도 로맨스,https://comic.naver.com/webtoon/list?titleId=759094,https://shared-comic.pstatic.net/thumb/webtoon/759094/thumbnail/thumbnail_IMAG10_6d45f829-49df-438c-9dfc-9ef4e58d3e90.jpg,권혜민 / 단염,귀신을 보는 장의사 오안나와 좀비가 되어버린 우주 대스타 류빈의 오싹달콤한 로맨스가 시작된다!,"스토리, 로맨스",전체연령가
721463,극야,https://comic.naver.com/webtoon/list?titleId=721463,https://shared-comic.pstatic.net/thumb/webtoon/721463/thumbnail/thumbnail_IMAG10_7e952d76-abd9-4fa3-b47a-6d7ff5b3fcc0.jpg,운 / 한 큰빛,"폭설, 강풍, 혹한 그리고 반 년 간의 길고 긴 밤이 이어지는 남극의 겨울.지구상 최악의 조건에 고립된 연구원들 앞에 정체불명의 ‘무언가’가 나타났다.","스토리, 스릴러",15세 이용가
738547,선녀야 야옹해봐!,https://comic.naver.com/webtoon/list?titleId=738547,https://shared-comic.pstatic.net/thumb/webtoon/738547/thumbnail/thumbnail_IMAG10_877b93b2-26d0-4191-a71f-40d58fff32bb.jpg,햄톨탱크,사랑 인연을 이어주기 위해 지상에 온 선녀 초미.톱스타 강수에게 냥줍을 당하다..!!,"스토리, 로맨스",전체연령가
727268,커넥트,https://comic.naver.com/webtoon/list?titleId=727268,https://shared-comic.pstatic.net/thumb/webtoon/727268/thumbnail/thumbnail_IMAG10_f1008bab-b11a-42cf-89fc-98eeb5b16661.jpg,신대성,그 놈은 날 죽였다. 하지만 난 되살아났고 그놈에 복수하기로 했다.내 눈을 가져간 자기 눈에 이식한 그놈이 보는 풍경이 내게도 보인다.누군지 모르겠지만 곧 다시 만나게 될 것이다.,"스토리, 스릴러",15세 이용가
759093,연하의 맛,https://comic.naver.com/webtoon/list?titleId=759093,https://shared-comic.pstatic.net/thumb/webtoon/759093/thumbnail/thumbnail_IMAG10_84dc157b-60c6-406b-949b-c0be458f8a00.jpg,나영 / 승우,"남친인 안그림에게 아무런 이유도 듣지 못하고 차인 공인주. 안그림에게 의존해 생활했던 인주는 그림의 빈자리를 크게 느끼며 그를 되찾을 계획을 세운다. 그 계획의 첫 번째는 그림의 질투를 유발하는 것! 이를 위해 봉사활동에서 만난 잘생긴 후배 서윤을 꼬셔보려고 하지만, 서윤에게는 좋아하는 사람이 있었는데…. 사랑을 쟁취하기 위해 동맹을 맺기로 한 두 사람의 끝은…?!","스토리, 로맨스",전체연령가
