영화제목,평점,댓글,작성자,날짜
키드,8,"영화 역사상 가장 귀여운 콤비, 영화 역사상 가장 사랑스러운 신파. 채플린의 휴머니스트적 감성을 만끽할 수 있는 대표작.",prin****,21.01.21
키드,10,찰리 채플린의 영화를 접하게 되어서 영광이다. 이 사람의 영화를 단순히 영화라고만 하기엔 너무 아까울 정도,ange****,20.07.20
키드,10,??그냥궁금하다ㅎ,howm****,19.11.06
키드,10,천재 채플린의 최고 걸작,arti****,19.04.22
키드,10,인생은 가까이서 보면 비극 멀리서 보면 희극!,haen****,18.07.10
키드,10,"인생은 아름다워, 세 얼간이를 잇는 내 인생영화",eovg****,18.04.29
키드,10,이 영화에 만점을 안 주면 어떤 영화에 10점을 줄까요..위대한 채플린..,hk00****,18.03.09
키드,10,우연히 오늘 보게 된 영화... 말과 자막이 없어도 이렇게 전달력이 강할 수 있다는걸.. 일께워준 영화인듯~~  대단한 영화입니다~!,impe****,18.03.05
키드,9,무성영화 시절의 영화라는 점을 감안해도 훌륭하다,adiv****,17.12.31
키드,9,고아원이 가난한 부자의 초라한 집 보다 나을까?,kusa****,16.08.25
키드,10,몇번 봐도 훌륭하다는 말이 계속 나온다,rhb0****,16.08.16
키드,9,아이에게 비평보다는 본보기가 필요하다는 점에서 챨리 채플린은 아이의 영웅이 될 수 있다.,kos4****,16.08.09
키드,10,저는 이 영화를 라이브로 연주되는 재즈 음악과 함께 감상했습니다. 한편의 예술 작품을 감상한 기분으로 극장을 나올수 있었습니다.,bs99****,16.07.05
키드,10,"강릉 신영극장의 '무기한 휴관' 당시에 본 영화. 언제 다시 열리기를 기약하기 어려운 극장에서, 채플린의 씁쓸하지만 유쾌한 위트를 본 기분은 말로 표현하기 어렵다.",gasi****,16.06.13
키드,7,The Kid....,nimu****,16.04.26
키드,8,잭키 쿠건 같이 아역 연기 잘했던 배우도 드물듯,xogu****,15.12.14
키드,9,눈물 날 정도로 사랑스러운 영화,fbch****,15.10.25
키드,10,그의 영화엔 항상 웃음뒤에 진실된 마음이 숨어있다,leem****,15.07.31
키드,10,말이 필요없다. 요즘영화랑은 비교가 안되게 재밌고 감동적이다..,dndk****,15.05.10
키드,9,재미와 진지함이 느껴짐,uhy1****,15.01.09
키드,7,모던타임즈 보다는 별로,ltg1****,14.09.07
키드,10,"말이 필요없다.  채플린  아기와 꼬마의 표정과 행동,.  다시 한 번 진짜 영화에 대해 생각하게 한다.",dma9****,14.08.25
키드,10,10점 이상은 없나..80년 넘은 무성영화가 이정도라니..  2007.11.19,dawn****,14.07.10
키드,5,흑백의 아쉬움 -1카메라 앵글을 바라보는 연기자들 -1,fhrd****,14.05.21
키드,7,"찰리 채플린 고전. 각본, 제작, 연출에 음악까지...",ysuh****,14.04.15
키드,10,"Great human being, great actor!",beat****,14.03.19
키드,10,정말로 훌륭하다  이영화에 슬픔 즐거움 다 들어있네,xx41****,14.03.11
키드,7,웃음 속에 묻어있는 페이소스,ykdi****,14.01.28
키드,10,찰리채플린 정말 존경해요,dgw0****,13.12.23
키드,10,와 대단하다 진짜..너무 재밌고 감동적이게 봤어요 짱짱  꼭 봐요!!,blac****,13.11.24
키드,1,어떻게 다운받아서 보냐요?,fnzk****,13.11.17
키드,8,너무  옛날꺼지만  저시대에  봤으면  엄청 재미있었을  영화,sunp****,13.11.16
키드,10,감동적이고 따뜻한 영화,mara****,13.10.14
키드,10,이사람은 영화를 만드는게아니라 예술을만든다 우린 예술을본것이다 그러므로 이사람의역사는 여전하게 유명하다. 그뿐이다,a690****,13.09.29
키드,10,고아원으로 끌려가는 의붓아들한테 뽀뽀하는 씬 너무 슬펐다ㅜㅜ 꼭 보셈! 아니 두번 보셈!!,kgwz****,13.09.17
키드,10,사랑합니다 채플린.,nnnu****,13.07.30
키드,10,채플린의 영화를 사랑하게 된 동기,outb****,13.06.12
키드,10,즐거움과 진지함 두마리 토끼 다잡네. 위대해요,suns****,13.05.24
키드,10,"재미 있네요~ 중간중간에는 감동적인 장면도 있고, 볼만해요",yobi****,13.05.24
키드,10,따뜻해요,week****,13.05.24
키드,10,정말최고였습니다. 그의영화는 그를닮아 모든것이 살아있습니다.,song****,13.05.16
키드,10,희극속에 숨겨진 비극.. 채플린은 천재,kjjh****,13.05.13
키드,10,걍 최고,fnql****,13.04.12
키드,9,인생은 가까이서보면 비극이고 멀리서보면 희극이다. 채플린의 영화의 전반적인 주제가 잘 담겨있는 어구. 채플린의 영화를 보는 내내 미소가 끊이지 않지만 가슴한구석이 아려온다. 이런게 우리내 인생이겠지..,dlrb****,13.02.07
키드,10,왜나는 찰리채플린의 영화만보면 1초도 눈을 떼지 못할까???,ldj6****,12.11.25
키드,6,찰리채플린의 가닥이 잡혀가는 과도기,rd72****,12.10.16
키드,9,내용이 짧아서 조금 아쉬워요~ ^^,shn0****,12.08.17
키드,9,어제 보았던 어이없는 배틀쉽보다 훨씬 재미있었다,46to****,12.04.21
키드,10,역시 찰스 채플린. 대단한 인물이다. 어쩌면 그는 천재가 아니었을까..,yujs****,12.01.27
키드,8,역시 채플린,jjh8****,12.01.12
키드,9,멋지다,dubl****,12.01.03
키드,10,아이 연기쵝오 너무 귀여움 바로 소장 시티라이트와 더불어 명작,ultr****,11.12.17
키드,10,무성영화라서 영화의 느낌을 더 어필할수 있었던 영화 좋다좋아,woor****,11.12.05
키드,10,1920년대에 이런 영화가 있었다니..놀랍다,eaho****,11.11.27
키드,10,sja woaldlTek.,todl****,11.11.24
